a,b,c,d,e,f,g,h,i
0.0238,2.6221,-1.4014,-1.1581,220.06,87.618,-310.64,307.31,17.823
0.0245,2.6172,-1.084,-1.4918,157.89,146.03,-311.14,307.31,18.039
0.0252,2.3926,-0.63477,-1.7273,86.84,210.88,-306.66,307.32,18.254
0.0259,2.0557,-0.024414,-2.0021,16.282,269.29,-289.76,307.33,18.469
0.0266,1.6162,0.72754,-2.3309,-47.367,302.46,-260.44,307.34,18.684
0.0273,1.2305,1.2988,-2.5076,-105.1,307.41,-211.73,307.36,18.899
0.028,0.87402,1.5918,-2.4536,-165.29,304.44,-145.13,307.37,19.114
0.0287,0.36133,1.8164,-2.1739,-228.45,299.49,-72.565,307.39,19.329
0.0294,-0.30273,2.0996,-1.8157,-282.23,281.17,-4.4732,307.41,19.545
0.0301,-1.0498,2.4512,-1.428,-311.34,247.51,54.672,307.42,19.76
0.0308,-1.5283,2.6074,-1.1041,-312.33,195.53,113.32,307.41,19.975
0.0315,-1.7871,2.5391,-0.78025,-307.89,127.72,177.44,307.39,20.19
0.0322,-2.0166,2.2314,-0.25027,-302.46,53.957,239.56,307.38,20.405
0.0329,-2.3242,1.8408,0.43184,-280.75,-15.841,286.78,307.37,20.62
0.0336,-2.5879,1.4453,1.0943,-238.32,-73.263,308.15,307.36,20.836
0.0343,-2.6318,1.1328,1.4624,-181.08,-131.68,307.66,307.35,21.051
0.035,-2.4805,0.76172,1.6979,-113.98,-197.51,302.69,307.35,21.266
0.0357,-2.1289,0.18066,1.9334,-40.459,-257.91,292.25,307.35,21.481
0.0364,-1.7139,-0.53223,2.2475,27.631,-298.99,268.39,307.35,21.696
0.0371,-1.3184,-1.1865,2.5027,83.386,-312.85,223.16,307.35,21.911
0.0378,-0.98633,-1.5381,2.5125,142.1,-310.38,160.54,307.35,22.127
0.0385,-0.54688,-1.7529,2.2966,207.72,-304.44,90.458,307.35,22.342
0.0392,0.078125,-1.9971,1.9482,265.45,-290.58,19.881,307.36,22.557
0.0399,0.82031,-2.3633,1.5752,300.98,-263.85,-44.235,307.36,22.772
0.0406,1.416,-2.627,1.2415,309.37,-216.32,-100.9,307.36,22.987
0.0413,1.7188,-2.627,0.952,305.91,-150.98,-161.53,307.36,23.202
0.042,1.9434,-2.3877,0.48582,300.98,-79.698,-226.64,307.36,23.417
0.0427,2.2314,-2.0117,-0.16685,283.71,-8.4153,-280.32,307.36,23.632
0.0434,2.5684,-1.6406,-0.86858,248.68,53.957,-308.15,307.36,23.848
0.0441,2.7002,-1.2939,-1.3446,193.91,111.38,-312.13,307.36,24.063
0.0448,2.5928,-0.95215,-1.6047,129.27,174.25,-309.15,307.36,24.278
0.0455,2.2852,-0.4248,-1.8304,57.235,237.61,-300.7,307.36,24.493
0.0462,1.8799,0.25391,-2.1101,-12.829,286.12,-280.82,307.36,24.708
0.0469,1.4844,0.95703,-2.4291,-72.038,307.9,-242.05,307.36,24.923
0.0476,1.1279,1.3965,-2.5027,-127.79,307.9,-183.4,307.36,25.139
0.0483,0.73242,1.6064,-2.326,-192.92,302.95,-114.81,307.37,25.354
0.049,0.15625,1.8262,-1.9874,-254.6,292.06,-44.732,307.38,25.569
0.0497,-0.52734,2.1484,-1.639,-297.53,269.79,22.863,307.38,25.784
0.0504,-1.1914,2.4805,-1.3151,-312.33,228.7,80.02,307.37,25.999
0.0511,-1.5479,2.5439,-1.0207,-311.34,166.82,139.17,307.36,26.214
0.0518,-1.748,2.3438,-0.62322,-307.89,96.529,204.77,307.37,26.43
0.0525,-2.0166,1.9922,-0.014722,-294.56,24.256,262.43,307.38,26.645
0.0532,-2.3584,1.6553,0.64775,-265.95,-41.087,298.71,307.37,26.86
0.0539,-2.6074,1.3379,1.2219,-216.11,-98.509,308.15,307.37,27.075
0.0546,-2.5488,1.0107,1.5065,-152.96,-158.41,307.16,307.36,27.29
0.0553,-2.3047,0.55664,1.7273,-82.893,-224.24,300.2,307.37,27.505
0.056,-1.9287,-0.097656,2.0169,-11.842,-279.19,283.3,307.37,27.72
0.0567,-1.5576,-0.80078,2.3457,51.314,-307.9,252.49,307.36,27.936
0.0574,-1.1914,-1.3623,2.537,107.07,-312.36,198.81,307.36,28.151
0.0581,-0.81055,-1.626,2.4291,168.75,-308.89,131.21,307.36,28.366
0.0588,-0.27832,-1.8311,2.1248,233.88,-300.48,60.637,307.36,28.581
0.0595,0.41992,-2.1338,1.747,284.2,-281.17,-7.4553,307.35,28.796
0.0602,1.0986,-2.4658,1.4035,306.9,-247.01,-69.086,307.35,29.011
0.0609,1.5674,-2.6367,1.1041,307.39,-191.08,-125.75,307.35,29.227
0.0616,1.792,-2.4951,0.7459,305.42,-120.29,-188.87,307.35,29.442
0.0623,2.0361,-2.168,0.17666,296.54,-48.017,-251,307.34,29.657
0.063,2.3389,-1.7871,-0.49563,270.39,18.316,-296.72,307.33,29.872
0.0637,2.6025,-1.4648,-1.0845,227.46,78.213,-312.13,307.34,30.087
0.0644,2.6416,-1.1377,-1.4525,170.23,138.11,-310.14,307.36,30.302
0.0651,2.4512,-0.7373,-1.6832,99.668,200.98,-307.16,307.36,30.518
0.0658,2.0996,-0.12695,-1.9482,25.164,259.39,-295.23,307.36,30.733
0.0665,1.6846,0.58594,-2.2573,-37.992,299.98,-266.4,307.36,30.948
0.0672,1.3184,1.1963,-2.4929,-94.241,309.88,-218.19,307.37,31.163
0.0679,0.96191,1.5381,-2.4781,-155.42,304.44,-157.06,307.38,31.378
0.0686,0.5127,1.7529,-2.2573,-221.05,298.5,-85.985,307.38,31.593
0.0693,-0.15625,2.0508,-1.9089,-273.84,286.12,-13.917,307.39,31.808
0.07,-0.87891,2.3877,-1.536,-307.39,255.43,47.714,307.39,32.024
0.0707,-1.4404,2.627,-1.217,-314.3,203.45,102.88,307.4,32.239
0.0714,-1.7432,2.5781,-0.86367,-309.86,137.12,166.5,307.4,32.454
0.0721,-1.9775,2.3096,-0.36804,-302.95,66.333,232.61,307.4,32.669
0.0728,-2.2949,1.9287,0.31897,-284.7,-4.9502,281.31,307.4,32.884
0.0735,-2.5684,1.5527,0.96182,-247.69,-66.333,305.17,307.4,33.099
0.0742,-2.6904,1.2256,1.4133,-189.96,-123.26,308.15,307.4,33.314
0.0749,-2.5293,0.83496,1.6685,-123.35,-186.62,304.67,307.4,33.53
0.0756,-2.2119,0.2832,1.904,-52.795,-249.49,294.73,307.4,33.745
0.0763,-1.792,-0.42969,2.2132,16.776,-294.54,273.36,307.39,33.96
0.077,-1.4209,-1.0693,2.4831,74.998,-311.86,232.11,307.39,34.175
0.0777,-1.0742,-1.4844,2.5469,132.23,-311.37,171.47,307.39,34.39
0.0784,-0.63965,-1.709,2.3506,197.86,-306.42,101.89,307.38,34.606
0.0791,-0.048828,-1.9629,2.0316,258.55,-293.55,30.318,307.38,34.821
0.0798,0.68848,-2.3145,1.6488,296.54,-270.28,-34.792,307.38,35.036
0.0805,1.2891,-2.5781,1.325,308.87,-226.22,-91.949,307.38,35.251
0.0812,1.665,-2.6416,1.0158,307.89,-161.38,-151.09,307.38,35.466
0.0819,1.8945,-2.4414,0.58887,302.95,-90.094,-217.2,307.39,35.682
0.0826,2.1973,-2.0996,-0.049072,286.18,-20.296,-274.36,307.39,35.897
0.0833,2.5146,-1.6895,-0.76062,255.59,45.047,-306.17,307.38,36.112
0.084,2.6953,-1.377,-1.2563,204.76,103.95,-310.64,307.38,36.327
0.0847,2.6514,-1.0547,-1.5605,140.13,162.86,-309.64,307.38,36.542
0.0854,2.3779,-0.55664,-1.796,67.104,227.71,-303.68,307.38,36.757
0.0861,1.9727,0.1416,-2.0954,-1.9736,281.17,-283.8,307.38,36.972
0.0868,1.5479,0.85938,-2.3947,-62.663,306.91,-249.01,307.39,37.188
0.0875,1.2109,1.3281,-2.5223,-120.39,307.41,-194.34,307.39,37.403
0.0882,0.8252,1.5869,-2.3947,-183.05,302.46,-126.74,307.38,37.618
0.0889,0.29297,1.8018,-2.0905,-244.73,295.53,-54.672,307.38,37.833
0.0896,-0.4248,2.124,-1.7175,-292.1,275.23,12.923,307.37,38.048
0.0903,-1.0986,2.4365,-1.3593,-312.82,236.12,70.577,307.37,38.264
0.091,-1.499,2.5635,-1.0894,-312.33,176.72,129.23,307.37,38.479
0.0917,-1.7383,2.4365,-0.72627,-307.89,108.41,194.34,307.37,38.694
0.0924,-1.9922,2.1143,-0.15212,-297.53,36.136,254.97,307.37,38.909
0.0931,-2.3291,1.709,0.56433,-271.87,-32.176,295.23,307.38,39.124
0.0938,-2.5635,1.3721,1.1434,-225.49,-90.094,307.66,307.38,39.339
0.0945,-2.6025,1.0938,1.4722,-163.32,-149,307.16,307.39,39.555
0.0952,-2.3926,0.66406,1.7126,-92.761,-213.85,302.19,307.4,39.77
0.0959,-2.0166,0.029297,1.9776,-22.697,-271.77,286.78,307.41,39.985
0.0966,-1.6016,-0.71777,2.3211,41.446,-306.42,257.46,307.4,40.2
0.0973,-1.2402,-1.2939,2.5223,98.682,-312.36,208.75,307.38,40.415
0.098,-0.89355,-1.5967,2.4732,159.86,-307.9,143.14,307.37,40.63
0.0987,-0.37598,-1.8164,2.2033,224.01,-302.95,70.08,307.36,40.845
0.0994,0.29297,-2.0947,1.8304,276.31,-286.12,1.4911,307.35,41.061
0.1001,1.04,-2.4561,1.4525,306.41,-252.95,-58.152,307.34,41.276
0.1008,1.5234,-2.6221,1.1434,309.37,-199.49,-115.31,307.33,41.491
0.1015,1.7725,-2.5586,0.82441,304.43,-132.67,-180.42,307.32,41.706
0.1022,2.0068,-2.2656,0.29934,298.02,-60.392,-243.04,307.32,41.921
0.1029,2.3193,-1.875,-0.37786,277.3,10.395,-289.76,307.31,42.136
0.1036,2.5977,-1.499,-1.0354,236.34,69.303,-311.14,307.31,42.351
0.1043,2.6514,-1.1914,-1.4084,178.12,126.72,-312.13,307.32,42.567
0.105,2.5195,-0.83008,-1.6488,110.52,191.57,-307.16,307.32,42.782
0.1057,2.1924,-0.26367,-1.8991,37.992,252.95,-296.22,307.33,42.997
0.1064,1.792,0.4541,-2.2279,-30.098,295.03,-272.86,307.34,43.212
0.1071,1.3818,1.1279,-2.4929,-86.84,308.89,-227.64,307.34,43.427
0.1078,1.0596,1.4844,-2.5125,-144.57,306.42,-166.01,307.34,43.642
0.1085,0.63477,1.709,-2.3309,-210.69,300.97,-96.919,307.34,43.857
0.1092,-0.019531,1.9873,-1.9874,-267.92,287.61,-25.348,307.35,44.073
0.1099,-0.78125,2.3438,-1.585,-303.94,261.37,39.265,307.35,44.288
0.1106,-1.3916,2.6172,-1.2464,-313.81,213.35,94.434,307.35,44.503
0.1113,-1.6846,2.627,-0.96672,-310.85,148.51,155.57,307.34,44.718
0.112,-1.9287,2.4121,-0.51035,-304.93,77.718,222.67,307.34,44.933
0.1127,-2.2314,2.0215,0.17175,-288.15,6.4353,275.35,307.32,45.148
0.1134,-2.5586,1.6016,0.90293,-255.09,-57.917,302.69,307.31,45.363
0.1141,-2.6953,1.2646,1.3789,-200.32,-114.35,307.66,307.29,45.578
0.1148,-2.6074,0.95215,1.6243,-132.73,-175.24,306.66,307.28,45.793
0.1155,-2.3242,0.43457,1.8647,-63.65,-241.07,296.72,307.28,46.008
0.1162,-1.8945,-0.27344,2.1592,4.9341,-290.58,275.85,307.27,46.224
0.1169,-1.4844,-0.99609,2.4732,67.104,-310.87,240.56,307.26,46.439
0.1176,-1.1426,-1.4453,2.5812,124.34,-310.38,182.41,307.25,46.654
0.1183,-0.79102,-1.6602,2.4438,186.51,-307.9,111.33,307.25,46.869
0.119,-0.19531,-1.9141,2.1346,248.68,-297.51,40.259,307.24,47.084
0.1197,0.53223,-2.251,1.747,294.56,-273.25,-23.857,307.23,47.299
0.1204,1.2354,-2.5928,1.3937,309.37,-233.15,-82.506,307.22,47.514
0.1211,1.6162,-2.6855,1.1041,305.91,-173.75,-143.14,307.23,47.729
0.1218,1.8408,-2.5342,0.73118,303.45,-100.98,-207.26,307.23,47.944
0.1225,2.1387,-2.1973,0.10305,292.1,-28.711,-264.91,307.23,48.159
0.1232,2.4805,-1.8115,-0.6134,261.51,35.641,-303.18,307.23,48.374
0.1239,2.7197,-1.4502,-1.2121,212.17,92.569,-312.63,307.23,48.59
0.1246,2.6807,-1.1084,-1.5261,151.97,154.45,-310.14,307.23,48.805
0.1253,2.4609,-0.66895,-1.7617,79.932,219.79,-303.68,307.23,49.02
0.126,2.0605,0.0048828,-2.0414,7.4011,273.25,-288.77,307.23,49.235
0.1267,1.6406,0.73242,-2.3604,-54.275,304.44,-256.46,307.23,49.45
0.1274,1.2695,1.2939,-2.5518,-110.03,309.39,-203.28,307.24,49.665
0.1281,0.9082,1.5674,-2.4536,-173.19,304.44,-137.18,307.24,49.88
0.1288,0.4248,1.7676,-2.1886,-236.84,296.52,-66.601,307.24,50.095
0.1295,-0.27832,2.0801,-1.8206,-286.67,278.7,2.9821,307.22,50.31
0.1302,-0.98633,2.4219,-1.4574,-311.34,244.04,62.625,307.21,50.525
0.1309,-1.4795,2.5977,-1.1434,-312.82,188.11,119.29,307.2,50.74
0.1316,-1.7041,2.4854,-0.80969,-308.87,119.3,184.39,307.2,50.955
0.1323,-1.9531,2.207,-0.27971,-299.99,46.532,247.02,307.19,51.17
0.133,-2.2852,1.8213,0.41221,-276.8,-22.276,290.76,307.19,51.385
0.1337,-2.5635,1.46,1.0551,-233.38,-81.678,308.15,307.17,51.6
0.1344,-2.6172,1.1328,1.4525,-173.19,-139.1,307.66,307.16,51.815
0.1351,-2.4316,0.74219,1.6685,-106.08,-204.44,302.69,307.16,52.03
0.1358,-2.0996,0.14648,1.9433,-33.058,-263.85,290.26,307.15,52.245
0.1365,-1.6846,-0.58594,2.2671,33.552,-301.96,264.42,307.15,52.46
0.1372,-1.3037,-1.2207,2.5125,90.294,-312.85,217.2,307.16,52.675
0.1379,-0.9375,-1.5771,2.5027,148.52,-309.88,153.58,307.16,52.89
0.1386,-0.49805,-1.7773,2.277,214.63,-304.44,83.003,307.17,53.105
0.1393,0.15625,-2.0605,1.9285,270.39,-288.1,12.426,307.18,53.32
0.14,0.89844,-2.4023,1.536,302.95,-260.38,-50.199,307.18,53.535
0.1407,1.4697,-2.6367,1.2072,308.38,-209.89,-106.86,307.19,53.75
0.1414,1.7627,-2.5977,0.86858,305.91,-143.06,-168.99,307.19,53.965
0.1421,1.9727,-2.334,0.40239,300.49,-70.788,-234.1,307.19,54.18
0.1428,2.2803,-1.9629,-0.26008,280.75,-0.99004,-284.79,307.19,54.395
0.1435,2.5684,-1.5869,-0.92256,243.74,60.392,-309.64,307.18,54.611
0.1442,2.6953,-1.2598,-1.3789,187.99,118.31,-311.63,307.18,54.826
0.1449,2.5488,-0.87891,-1.6341,121.38,181.67,-308.15,307.18,55.041
0.1456,2.251,-0.36621,-1.8647,48.354,245.03,-299.21,307.18,55.256
0.1463,1.8506,0.3418,-2.169,-19.736,290.08,-277.84,307.17,55.471
0.147,1.4355,1.0303,-2.4487,-77.958,308.4,-237.08,307.17,55.686
0.1477,1.0742,1.46,-2.5174,-134.7,307.41,-176.44,307.17,55.901
0.1484,0.66406,1.6797,-2.3309,-199.83,302.46,-107.36,307.17,56.116
0.1491,0.1123,1.9141,-2.0316,-261.01,289.59,-36.78,307.17,56.331
0.1498,-0.64453,2.2705,-1.6537,-300.98,266.32,29.324,307.17,56.546
0.1505,-1.2842,2.5635,-1.3053,-312.33,223.25,86.979,307.18,56.761
0.1512,-1.6699,2.6416,-0.99617,-310.85,158.9,145.63,307.18,56.976
0.1519,-1.8896,2.4316,-0.57415,-307.89,87.123,210.74,307.19,57.191
0.1526,-2.168,2.0898,0.029443,-291.6,17.326,268.89,307.2,57.406
0.1533,-2.5,1.6797,0.76062,-260.52,-47.027,302.19,307.18,57.621
0.154,-2.6904,1.333,1.3053,-210.69,-105.93,307.16,307.15,57.836
0.1547,-2.6465,0.99609,1.6145,-146.54,-166.33,305.17,307.13,58.05
0.1554,-2.3535,0.5127,1.8255,-73.024,-229.69,300.2,307.12,58.265
0.1561,-1.9629,-0.15137,2.1101,-3.4539,-283.15,280.82,307.11,58.48
0.1568,-1.543,-0.89844,2.434,56.742,-311.37,245.03,307.09,58.695
0.1575,-1.1865,-1.4062,2.5812,114.47,-311.86,191.85,307.07,58.91
0.1582,-0.80078,-1.665,2.4585,178.12,-306.91,125.25,307.06,59.125
0.1589,-0.2832,-1.8555,2.1592,239.8,-299.98,52.187,307.06,59.34
0.1596,0.40527,-2.1777,1.801,287.16,-279.69,-16.402,307.05,59.555
0.1603,1.1279,-2.5342,1.4427,308.87,-240.58,-74.056,307.04,59.77
0.161,1.5771,-2.6709,1.1287,308.38,-182.17,-131.71,307.02,59.985
0.1617,1.8213,-2.5342,0.75571,303.45,-113.36,-198.31,307.01,60.2
0.1624,2.0557,-2.2363,0.22573,293.58,-41.087,-257.95,307.01,60.415
0.1631,2.4072,-1.8652,-0.476,268.41,27.721,-298.21,307.01,60.63
0.1638,2.6807,-1.5088,-1.1139,221.54,84.648,-312.13,307,60.845
0.1645,2.7148,-1.1816,-1.4918,160.85,143.56,-311.14,307,61.06
0.1652,2.5098,-0.74707,-1.7323,91.281,209.39,-305.67,306.99,61.275
0.1659,2.1582,-0.14648,-1.9776,18.256,266.32,-292.25,307,61.49
0.1666,1.748,0.60059,-2.3309,-46.38,300.97,-262.92,307,61.705
0.1673,1.3574,1.2256,-2.5567,-101.15,309.88,-212.73,307.01,61.92
0.168,0.97168,1.5625,-2.5076,-161.84,305.92,-147.12,307.02,62.134
0.1687,0.46875,1.7725,-2.2328,-228.45,297.51,-78.032,307.03,62.349
0.1694,-0.15137,2.0264,-1.8942,-280.75,282.16,-7.4553,307.04,62.564
0.1701,-0.87891,2.4072,-1.5458,-308.38,251.96,54.672,307.03,62.779
0.1708,-1.416,2.6172,-1.2219,-313.31,197.02,110.34,307.03,62.994
0.1715,-1.709,2.5537,-0.87349,-310.35,128.21,172.96,307.03,63.209
0.1722,-1.9385,2.2656,-0.35332,-301.97,58.412,239.07,307.03,63.424
0.1729,-2.2363,1.8945,0.28953,-280.26,-11.385,287.28,307.02,63.639
0.1736,-2.5537,1.543,0.95691,-243.25,-73.263,305.67,307.02,63.854
0.1743,-2.6465,1.2158,1.3887,-185.03,-130.69,307.16,307.02,64.069
0.175,-2.5146,0.8252,1.6685,-114.47,-193.06,305.17,307.02,64.284
0.1757,-2.1729,0.24902,1.9089,-42.927,-254.94,293.24,307.02,64.499
0.1764,-1.7822,-0.43457,2.2132,22.697,-299.98,267.89,307.02,64.714
0.1771,-1.4014,-1.1279,2.5174,81.412,-312.85,225.15,307.02,64.929
0.1778,-1.0254,-1.5381,2.5518,140.62,-308.89,165.51,307.02,65.144
0.1785,-0.57129,-1.7773,2.3457,204.27,-305.43,93.44,307.02,65.358
0.1792,0.068359,-2.0312,1.9874,262,-293.05,21.869,307.02,65.573
0.1799,0.76172,-2.3584,1.6292,300.49,-265.33,-40.756,307.02,65.788
0.1806,1.3916,-2.6514,1.2955,309.86,-217.81,-96.919,307.02,66.003
0.1813,1.7383,-2.6514,0.952,305.91,-153.95,-159.54,307.02,66.218
0.182,1.9727,-2.4023,0.46619,300.98,-83.163,-224.65,307.02,66.433
0.1827,2.2412,-2.0166,-0.17175,285.19,-11.385,-277.84,307.01,66.648
0.1834,2.5391,-1.6504,-0.82441,251.64,51.977,-307.66,307,66.863
0.1841,2.7051,-1.3184,-1.3348,197.36,108.9,-312.13,307,67.077
0.1848,2.5977,-0.94238,-1.6194,132.23,170.78,-309.64,307.01,67.292
0.1855,2.3096,-0.4248,-1.8549,60.196,234.64,-301.2,307.02,67.507
0.1862,1.8945,0.23926,-2.115,-9.3748,285.13,-281.31,307.02,67.722
0.1869,1.5039,0.91797,-2.3996,-69.077,307.9,-244.04,307.02,67.937
0.1876,1.1328,1.4111,-2.5174,-126.31,307.41,-187.38,307.04,68.152
0.1883,0.74707,1.6553,-2.3898,-190.46,302.95,-118.29,307.05,68.367
0.189,0.17578,1.8945,-2.0758,-251.14,293.55,-46.223,307.05,68.582
0.1897,-0.5127,2.1875,-1.693,-296.04,271.27,19.881,307.05,68.797
0.1904,-1.1816,2.5,-1.3495,-313.81,230.18,77.038,307.05,69.012
0.1911,-1.6064,2.6221,-1.0403,-311.34,169.79,136.68,307.05,69.227
0.1918,-1.8506,2.4609,-0.64285,-307.39,99.499,202.78,307.04,69.442
0.1925,-2.1289,2.1094,-0.019629,-296.04,27.226,260.94,307.02,69.656
0.1932,-2.417,1.7041,0.65266,-267.92,-39.107,297.72,307,69.871
0.1939,-2.6514,1.3721,1.2268,-218.58,-96.034,308.65,306.99,70.086
0.1946,-2.627,1.0254,1.5752,-155.92,-156.43,306.17,306.98,70.301
0.1953,-2.3926,0.56641,1.8108,-85.36,-221.27,300.7,306.97,70.516
0.196,-1.9775,-0.097656,2.0708,-13.815,-277.21,284.79,306.96,70.731
0.1967,-1.5674,-0.78125,2.3457,48.354,-308.4,253.98,306.95,70.946
0.1974,-1.2256,-1.3281,2.5419,104.6,-312.36,200.8,306.94,71.161
0.1981,-0.84961,-1.6357,2.4732,166.77,-307.9,134.69,306.93,71.375
0.1988,-0.35645,-1.8457,2.2083,230.92,-300.97,63.122,306.93,71.59
0.1995,0.33203,-2.1289,1.8206,281.74,-283.65,-6.4613,306.93,71.805
0.2002,1.001,-2.4316,1.4624,306.9,-248.5,-65.11,306.92,72.02
0.2009,1.5039,-2.6367,1.1728,309.37,-192.56,-121.27,306.92,72.235
0.2016,1.7725,-2.5635,0.82441,304.43,-125.24,-186.88,306.92,72.45
0.2023,2.0361,-2.2852,0.29443,295.55,-52.967,-250.5,306.92,72.665
0.203,2.3438,-1.8799,-0.39749,273.84,17.821,-293.24,306.93,72.88
0.2037,2.6025,-1.543,-1.006,230.92,76.728,-310.64,306.93,73.095
0.2044,2.7051,-1.2305,-1.4182,169.73,133.16,-312.13,306.94,73.309
0.2051,2.5342,-0.82031,-1.6832,102.14,198.01,-307.66,306.94,73.524
0.2058,2.1875,-0.20508,-1.958,31.578,260.38,-293.24,306.95,73.739
0.2065,1.7578,0.52246,-2.2622,-36.512,298.5,-268.39,306.96,73.954
0.2072,1.4062,1.123,-2.5027,-94.241,307.41,-223.16,306.97,74.169
0.2079,1.04,1.5088,-2.5272,-151.48,305.92,-157.56,306.99,74.384
0.2086,0.56152,1.7432,-2.3015,-216.11,301.47,-86.979,307,74.599
0.2093,-0.097656,2.0166,-1.9384,-274.33,285.13,-18.887,307.02,74.813
0.21,-0.81055,2.3389,-1.5507,-307.89,255.93,43.738,307.02,75.028
0.2107,-1.3428,2.5732,-1.2513,-312.33,207.91,102.39,307.02,75.243
0.2114,-1.6602,2.5781,-0.93728,-309.37,141.58,164.51,307.02,75.458
0.2121,-1.8994,2.3193,-0.44656,-305.91,67.323,227.64,307.03,75.673
0.2128,-2.2119,1.9434,0.22083,-285.68,-1.9801,279.33,307.03,75.888
0.2135,-2.4951,1.5674,0.87349,-248.18,-62.372,306.66,307.02,76.103
0.2142,-2.6318,1.2744,1.3102,-193.42,-120.78,307.66,307.02,76.318
0.2149,-2.5391,0.91797,1.5998,-127.3,-184.64,304.18,307.02,76.533
0.2156,-2.2266,0.35156,1.8549,-54.275,-246.52,296.22,307.03,76.748
0.2163,-1.8213,-0.37598,2.1837,14.309,-293.05,274.36,307.03,76.963
0.217,-1.4404,-1.0303,2.4585,71.544,-313.35,233.6,307.03,77.177
0.2177,-1.1133,-1.4551,2.5518,130.26,-310.87,174.45,307.03,77.392
0.2184,-0.65918,-1.7236,2.38,194.9,-305.43,105.37,307.02,77.607
0.2191,-0.039062,-1.9824,2.0463,254.6,-295.53,32.803,307.02,77.822
0.2198,0.71777,-2.334,1.6537,296.04,-270.78,-32.306,307,78.037
0.2205,1.3135,-2.5977,1.32,309.86,-227.21,-88.47,306.98,78.252
0.2212,1.6748,-2.666,1.0305,306.41,-164.84,-149.11,306.97,78.467
0.2219,1.9238,-2.4658,0.57415,301.97,-94.054,-215.21,306.96,78.681
0.2226,2.207,-2.0996,-0.058887,289.14,-21.286,-270.88,306.95,78.896
0.2233,2.5293,-1.6943,-0.77043,258.55,43.562,-304.18,306.94,79.111
0.224,2.6807,-1.3574,-1.2661,206.24,99.004,-312.63,306.93,79.326
0.2247,2.6367,-1.0254,-1.5703,143.58,159.89,-310.14,306.93,79.541
0.2254,2.3633,-0.52246,-1.8108,72.531,227.21,-302.19,306.92,79.756
0.2261,1.9727,0.13672,-2.0905,0,278.7,-285.29,306.92,79.971
0.2268,1.5381,0.86914,-2.3947,-62.169,304.93,-252.49,306.92,80.185
0.2275,1.1816,1.3477,-2.5125,-115.95,308.89,-197.32,306.92,80.4
0.2282,0.81055,1.6162,-2.4094,-178.61,304.93,-129.23,306.93,80.615
