a,b,c,d,e,f,g,h,i
0.042,3.1445,-2.3535,-0.73118,292.1,-38.117,-261.93,301.47,22.966
0.0427,3.3008,-1.7529,-1.4771,261.51,31.681,-299.7,301.47,23.177
0.0434,3.3936,-1.1865,-2.1396,216.61,94.549,-311.63,301.47,23.388
0.0441,3.1641,-0.61035,-2.5076,155.92,152.47,-313.12,301.46,23.599
0.0448,2.7588,0.0097656,-2.748,85.853,213.35,-309.15,301.47,23.81
0.0455,2.1436,0.86914,-2.9934,14.802,268.8,-289.76,301.47,24.021
0.0462,1.5088,1.6211,-3.1259,-51.314,302.95,-255.47,301.47,24.232
0.0469,0.93262,2.2559,-3.1848,-110.03,310.87,-206.76,301.48,24.444
0.0476,0.33203,2.6074,-2.9345,-170.72,307.9,-144.14,301.48,24.655
0.0483,-0.32227,2.8174,-2.5125,-231.41,300.97,-74.553,301.48,24.866
0.049,-1.1914,3.0713,-1.9187,-280.26,279.69,-3.4792,301.47,25.077
0.0497,-1.8848,3.1982,-1.3544,-309.37,244.54,59.146,301.46,25.288
0.0504,-2.4609,3.2568,-0.84404,-315.29,191.57,117.79,301.46,25.499
0.0511,-2.7783,2.9883,-0.26499,-312.82,125.73,181.41,301.46,25.71
0.0518,-3.0127,2.5146,0.44656,-303.94,54.947,242.55,301.45,25.921
0.0525,-3.252,1.8848,1.3053,-276.8,-16.336,286.28,301.44,26.132
0.0532,-3.3154,1.3086,1.9384,-235.36,-80.193,307.66,301.44,26.343
0.0539,-3.2471,0.80078,2.4045,-177.63,-139.1,309.64,301.43,26.554
0.0546,-2.8564,0.15137,2.6744,-111.02,-199.99,306.66,301.42,26.765
0.0553,-2.3145,-0.61523,2.9051,-38.979,-258.4,292.25,301.41,26.976
0.056,-1.6455,-1.4746,3.1161,29.111,-298.99,262.92,301.4,27.187
0.0567,-1.0693,-2.0947,3.1652,89.307,-313.84,219.19,301.39,27.398
0.0574,-0.54199,-2.5146,3.0523,148.52,-312.36,159.54,301.39,27.609
0.0581,0.1416,-2.7783,2.6499,210.19,-307.9,90.955,301.39,27.82
0.0588,0.92285,-3.0078,2.1199,263.97,-291.07,19.384,301.38,28.03
0.0595,1.7725,-3.2275,1.4967,299.5,-259.89,-45.726,301.37,28.241
0.0602,2.3291,-3.2568,0.97654,311.34,-212.36,-104.37,301.36,28.452
0.0609,2.7002,-3.1396,0.48582,309.86,-149.99,-166.5,301.36,28.663
0.0616,2.959,-2.6904,-0.21101,303.45,-79.698,-229.62,301.36,28.874
0.0623,3.208,-2.1143,-1.0256,282.72,-7.4253,-279.33,301.35,29.085
0.063,3.3789,-1.4844,-1.8206,244.73,58.907,-308.15,301.34,29.296
0.0637,3.291,-0.95703,-2.2671,191.44,117.32,-313.62,301.34,29.507
0.0644,3.0322,-0.40039,-2.5959,127.79,178.21,-312.13,301.35,29.718
0.0651,2.5146,0.3418,-2.8364,56.249,238.6,-302.19,301.35,29.929
0.0658,1.9092,1.1621,-3.0621,-15.296,285.63,-277.34,301.35,30.14
0.0665,1.2549,1.958,-3.2142,-76.972,308.4,-237.08,301.35,30.351
0.0672,0.70312,2.3975,-3.1014,-134.21,309.88,-181.41,301.35,30.562
0.0679,0.097656,2.6807,-2.7873,-196.87,304.93,-115.81,301.36,30.773
0.0686,-0.68848,2.915,-2.2622,-254.11,294.04,-44.235,301.37,30.984
0.0693,-1.4795,3.1348,-1.693,-294.56,267.31,24.851,301.37,31.195
0.07,-2.207,3.2959,-1.1336,-313.81,223.75,83.997,301.37,31.406
0.0707,-2.5879,3.1787,-0.63303,-315.78,165.34,143.14,301.37,31.617
0.0714,-2.876,2.8271,-0.0098145,-309.37,98.014,208.25,301.39,31.828
0.0721,-3.125,2.2705,0.79497,-293.58,24.751,263.92,301.4,32.039
0.0728,-3.3252,1.6846,1.5703,-262.99,-46.037,296.72,301.41,32.25
0.0735,-3.3594,1.084,2.2132,-212.66,-104.45,309.15,301.41,32.461
0.0742,-3.1006,0.53223,2.5272,-149.01,-162.86,310.64,301.41,32.672
0.0749,-2.666,-0.14648,2.7922,-82.399,-226.22,302.19,301.43,32.883
0.0756,-2.0459,-0.97656,3.0081,-11.348,-279.19,280.82,301.44,33.094
0.0763,-1.4502,-1.7383,3.1848,56.249,-306.91,247.52,301.45,33.305
0.077,-0.83984,-2.3535,3.1946,114.47,-313.35,196.32,301.45,33.516
0.0777,-0.25879,-2.6465,2.9051,172.69,-312.85,129.72,301.46,33.727
0.0784,0.4834,-2.8906,2.434,233.88,-303.45,61.134,301.47,33.938
0.0791,1.2891,-3.1055,1.8598,283.22,-278.2,-7.4553,301.48,34.149
0.0798,2.002,-3.2812,1.3299,306.9,-242.06,-71.571,301.48,34.36
0.0805,2.5586,-3.2764,0.76553,309.86,-188.6,-131.71,301.48,34.571
0.0812,2.832,-2.9688,0.19629,308.38,-120.29,-192.84,301.48,34.782
0.0819,3.1006,-2.4609,-0.58396,297.53,-48.512,-251.99,301.48,34.993
0.0826,3.2861,-1.8359,-1.3838,267.43,21.286,-295.23,301.48,35.204
0.0833,3.3838,-1.2939,-2.0169,223.51,83.163,-312.63,301.49,35.415
0.084,3.2422,-0.72754,-2.4634,166.77,143.06,-312.63,301.49,35.626
0.0847,2.8369,-0.097656,-2.7186,97.695,204.94,-309.64,301.49,35.837
0.0854,2.2607,0.71777,-2.964,25.657,260.38,-293.74,301.49,36.048
0.0861,1.5869,1.5332,-3.1161,-41.94,298.99,-262.43,301.5,36.259
0.0868,1.04,2.1484,-3.1848,-100.16,310.38,-215.71,301.5,36.47
0.0875,0.44434,2.5635,-3.013,-160.36,308.89,-155.57,301.5,36.681
0.0882,-0.2002,2.7881,-2.6008,-221.54,302.95,-85.985,301.5,36.892
0.0889,-1.04,3.0371,-2.0414,-272.85,284.14,-14.414,301.5,37.103
0.0896,-1.8115,3.1885,-1.4231,-306.9,250.48,49.702,301.49,37.314
0.0903,-2.3682,3.252,-0.93728,-315.78,200.98,108.35,301.5,37.525
0.091,-2.7344,3.0713,-0.38276,-312.82,138.61,170.98,301.49,37.736
0.0917,-2.9688,2.6123,0.30425,-305.42,66.828,233.1,301.48,37.947
0.0924,-3.2324,2.002,1.1679,-283.71,-6.9303,279.82,301.47,38.158
0.0931,-3.3252,1.3916,1.8697,-242.76,-69.798,306.17,301.45,38.369
0.0938,-3.2715,0.89355,2.3211,-186.01,-127.72,311.14,301.45,38.58
0.0945,-2.9395,0.26855,2.645,-122.86,-191.08,307.16,301.43,38.791
0.0952,-2.4219,-0.46387,2.8609,-52.301,-250.97,294.73,301.42,39.002
0.0959,-1.7725,-1.3281,3.1014,19.736,-292.56,269.39,301.41,39.213
0.0966,-1.1475,-2.0361,3.1799,80.919,-311.86,228.13,301.39,39.424
0.0973,-0.64453,-2.4463,3.0916,137.17,-314.83,168.99,301.38,39.635
0.098,0.019531,-2.7441,2.7333,199.83,-309.88,101.89,301.38,39.846
0.0987,0.77637,-2.9541,2.2083,257.56,-293.55,32.306,301.37,40.057
0.0994,1.6406,-3.2031,1.6096,295.55,-265.33,-36.283,301.36,40.268
0.1001,2.2705,-3.2764,1.0452,309.37,-222.26,-96.422,301.35,40.479
0.1008,2.6416,-3.1787,0.59377,310.35,-160.39,-156.06,301.34,40.69
0.1015,2.9297,-2.7832,-0.08833,305.91,-90.094,-219.19,301.34,40.901
0.1022,3.1543,-2.2217,-0.87349,286.67,-19.801,-272.86,301.33,41.112
0.1029,3.374,-1.6064,-1.6979,251.64,47.522,-305.17,301.33,41.323
0.1036,3.3252,-1.0254,-2.2328,200.82,107.91,-313.62,301.33,41.534
0.1043,3.0957,-0.51758,-2.537,139.14,168.8,-312.63,301.33,41.745
0.105,2.6074,0.21484,-2.802,68.584,230.18,-304.67,301.33,41.956
0.1057,2.002,1.0254,-3.0081,-3.9473,279.69,-282.81,301.32,42.167
0.1064,1.3867,1.8262,-3.2044,-67.104,305.92,-245.53,301.33,42.378
0.1071,0.78125,2.3584,-3.1357,-124.34,311.37,-191.35,301.33,42.589
0.1078,0.22461,2.627,-2.8511,-185.52,307.41,-126.74,301.34,42.8
0.1085,-0.57129,2.8857,-2.3457,-246.21,295.53,-57.157,301.34,43.011
0.1092,-1.3281,3.0859,-1.7911,-291.6,271.27,13.42,301.34,43.222
0.1099,-2.0898,3.2812,-1.2415,-311.83,233.15,75.547,301.33,43.433
0.1106,-2.5439,3.2129,-0.70664,-314.79,176.72,133.7,301.33,43.644
0.1113,-2.8174,2.9004,-0.1374,-312.33,107.42,196.82,301.34,43.854
0.112,-3.1006,2.3584,0.6821,-298.51,36.136,255.47,301.35,44.065
0.1127,-3.2715,1.7676,1.4378,-267.43,-33.661,294.73,301.36,44.276
0.1134,-3.3887,1.2061,2.1199,-221.54,-95.044,308.65,301.36,44.487
0.1141,-3.1592,0.62012,2.4929,-162.33,-153.95,309.15,301.37,44.698
0.1148,-2.7588,-0.0097656,2.7431,-93.254,-215.83,304.67,301.37,44.909
0.1155,-2.1484,-0.85938,2.9934,-21.217,-270.28,286.28,301.38,45.12
0.1162,-1.5332,-1.6064,3.1406,45.394,-304.93,252.98,301.39,45.331
0.1169,-0.95215,-2.2559,3.2142,103.62,-314.34,205.27,301.39,45.542
0.1176,-0.3418,-2.6221,2.964,163.81,-311.86,142.15,301.4,45.753
0.1183,0.31738,-2.8467,2.5419,224.99,-304.93,73.062,301.4,45.964
0.119,1.1865,-3.1006,1.958,275.32,-283.65,1.9881,301.41,46.175
0.1197,1.8848,-3.2324,1.3937,304.43,-249.49,-62.128,301.42,46.386
0.1204,2.4756,-3.3008,0.87349,310.85,-198.5,-120.78,301.42,46.597
0.1211,2.8027,-3.0322,0.28462,308.87,-132.17,-182.9,301.42,46.808
0.1218,3.0469,-2.5586,-0.43184,299.99,-59.897,-243.54,301.43,47.019
0.1225,3.291,-1.9336,-1.2808,274.33,9.9004,-289.27,301.44,47.23
0.1232,3.3594,-1.3623,-1.9236,231.41,72.768,-311.63,301.45,47.441
0.1239,3.2959,-0.84473,-2.3996,177.13,133.16,-313.12,301.45,47.652
0.1246,2.9102,-0.2002,-2.6892,110.52,195.04,-310.14,301.46,47.863
0.1253,2.373,0.56641,-2.9247,37.006,251.96,-297.72,301.47,48.074
0.126,1.6992,1.4355,-3.1259,-32.072,293.05,-269.88,301.47,48.285
0.1267,1.1084,2.0703,-3.175,-89.8,310.87,-223.66,301.47,48.496
0.1274,0.57617,2.5,-3.0719,-149.5,309.88,-165.01,301.46,48.707
0.1281,-0.10254,2.7588,-2.6695,-214.14,302.95,-98.907,301.46,48.918
0.1288,-0.88379,2.9834,-2.1396,-266.93,287.11,-26.342,301.47,49.129
0.1295,-1.7236,3.2031,-1.5163,-300.98,258.9,41.253,301.47,49.34
0.1302,-2.29,3.2422,-1.0011,-315.29,210.88,98.41,301.46,49.551
0.1309,-2.6807,3.1348,-0.50544,-315.29,147.52,158.55,301.45,49.762
0.1316,-2.9395,2.7051,0.18647,-307.39,79.203,224.16,301.44,49.973
0.1323,-3.1885,2.124,1.0011,-286.18,6.9303,275.35,301.44,50.184
0.133,-3.3545,1.4844,1.8059,-251.14,-61.877,302.19,301.44,50.395
0.1337,-3.2812,0.95215,2.2671,-197.86,-119.3,309.64,301.44,50.606
0.1344,-3.0273,0.39551,2.6008,-132.23,-178.21,309.64,301.44,50.817
0.1351,-2.5146,-0.3418,2.8364,-63.156,-240.58,298.71,301.44,51.028
0.1358,-1.9043,-1.1621,3.0572,6.9077,-288.6,272.86,301.44,51.239
0.1365,-1.25,-1.958,3.2044,71.051,-311.37,235.59,301.43,51.45
0.1372,-0.70312,-2.4072,3.1112,128.78,-313.35,180.42,301.42,51.661
0.1379,-0.11719,-2.6904,2.8167,188.98,-309.88,112.82,301.41,51.872
0.1386,0.66406,-2.9297,2.2966,248.18,-298,42.744,301.4,52.083
0.1393,1.4795,-3.1445,1.7126,291.11,-270.78,-25.348,301.39,52.294
0.14,2.2119,-3.3057,1.1385,308.87,-230.18,-86.482,301.39,52.505
0.1407,2.5879,-3.208,0.66738,310.35,-171.28,-146.62,301.38,52.716
0.1414,2.8809,-2.876,0.053979,307.39,-102.47,-208.25,301.38,52.927
0.1421,3.1348,-2.3145,-0.75081,291.11,-31.186,-265.41,301.37,53.138
0.1428,3.3398,-1.7236,-1.5507,258.05,37.621,-302.19,301.36,53.349
0.1435,3.374,-1.1182,-2.1886,210.19,99.004,-312.63,301.36,53.56
0.1442,3.1299,-0.59082,-2.5027,150,159.4,-313.12,301.35,53.771
0.1449,2.7148,0.073242,-2.7726,79.439,219.29,-307.66,301.34,53.982
0.1456,2.0996,0.90332,-2.9836,7.8945,272.26,-287.28,301.33,54.193
0.1463,1.4941,1.6797,-3.1701,-56.249,304.93,-251.49,301.33,54.404
0.147,0.87891,2.3047,-3.1848,-114.96,310.87,-201.29,301.33,54.615
0.1477,0.31738,2.5977,-2.91,-177.13,306.91,-138.67,301.33,54.825
0.1484,-0.42969,2.8516,-2.4438,-236.84,299.49,-67.595,301.33,55.036
0.1491,-1.2305,3.0615,-1.8746,-284.2,278.2,3.9762,301.33,55.247
0.1498,-1.9385,3.252,-1.3495,-310.85,239.59,64.613,301.33,55.458
0.1505,-2.5098,3.2568,-0.79006,-316.27,185.14,122.76,301.33,55.669
0.1512,-2.7881,2.9639,-0.23064,-311.83,120.29,187.38,301.33,55.88
0.1519,-3.0566,2.4609,0.5447,-300.98,48.512,247.52,301.34,56.091
0.1526,-3.252,1.8457,1.3348,-274.33,-24.256,288.77,301.34,56.302
0.1533,-3.3594,1.3037,1.9923,-230.92,-85.638,307.66,301.33,56.513
0.154,-3.2275,0.73242,2.4487,-171.21,-143.06,310.64,301.35,56.724
0.1547,-2.832,0.10254,2.7039,-104.6,-205.93,306.17,301.35,56.935
0.1554,-2.2656,-0.71289,2.964,-33.552,-263.35,289.76,301.36,57.146
0.1561,-1.6064,-1.5186,3.121,35.525,-300.97,259.45,301.35,57.357
0.1568,-1.0596,-2.1484,3.2044,94.734,-313.35,214.71,301.35,57.568
0.1575,-0.45898,-2.5781,3.0376,153.45,-312.36,153.58,301.36,57.779
0.1582,0.18555,-2.8076,2.6303,215.13,-307.41,83.997,301.36,57.99
0.1589,1.0352,-3.0664,2.0708,267.92,-288.6,12.923,301.36,58.201
0.1596,1.8115,-3.2275,1.4574,301.97,-255.93,-51.69,301.36,58.412
0.1603,2.3828,-3.291,0.95691,310.85,-206.92,-110.84,301.37,58.623
0.161,2.7637,-3.1104,0.39749,309.37,-144.05,-172.47,301.37,58.834
0.1617,2.998,-2.6562,-0.28462,301.97,-73.263,-235.09,301.38,59.045
0.1624,3.2666,-2.0508,-1.1434,279.76,-0.99004,-282.81,301.38,59.256
0.1631,3.3691,-1.4453,-1.8549,240.78,64.353,-308.65,301.39,59.467
0.1638,3.3203,-0.94238,-2.3162,184.53,122.76,-314.12,301.4,59.678
0.1645,2.998,-0.31738,-2.6499,120.89,184.15,-311.63,301.4,59.889
0.1652,2.4756,0.41992,-2.8707,50.821,245.03,-299.7,301.43,60.1
0.1659,1.8213,1.2988,-3.1161,-20.723,288.6,-274.36,301.44,60.31
0.1666,1.1914,2.0068,-3.1897,-82.893,308.4,-233.6,301.43,60.522
0.1673,0.68359,2.4316,-3.1112,-139.63,309.88,-175.45,301.42,60.733
0.168,0.019531,2.7295,-2.753,-201.8,305.92,-108.35,301.42,60.944
0.1687,-0.74219,2.9395,-2.2328,-259.04,291.07,-38.271,301.44,61.154
0.1694,-1.6064,3.1885,-1.6243,-299.01,262.86,29.821,301.44,61.365
0.1701,-2.2461,3.2568,-1.06,-313.81,220.28,89.961,301.44,61.576
0.1708,-2.6221,3.1738,-0.60359,-314.3,159.89,149.6,301.45,61.787
0.1715,-2.915,2.793,0.063794,-309.86,90.094,213.22,301.45,61.998
0.1722,-3.1396,2.2266,0.84895,-291.6,17.326,267.89,301.46,62.209
0.1729,-3.3545,1.6064,1.6783,-257.56,-50.492,300.2,301.45,62.42
0.1736,-3.3057,1.0156,2.2328,-207.23,-109.89,309.64,301.45,62.631
0.1743,-3.0859,0.50293,2.5419,-144.57,-169.3,309.15,301.45,62.842
0.175,-2.6025,-0.21973,2.8069,-74.998,-231.67,301.2,301.44,63.053
0.1757,-1.9971,-1.0156,3.0081,-3.9473,-282.66,278.33,301.44,63.264
0.1764,-1.377,-1.8359,3.2093,60.196,-308.89,243.04,301.43,63.475
0.1771,-0.78125,-2.3682,3.1455,119.4,-313.35,190.86,301.42,63.686
0.1778,-0.24414,-2.6416,2.8854,179.11,-311.37,124.75,301.41,63.897
0.1785,0.54688,-2.9004,2.3849,238.32,-301.47,53.678,301.4,64.108
0.1792,1.3232,-3.0957,1.8059,286.18,-275.23,-14.911,301.39,64.319
0.1799,2.0996,-3.3057,1.2464,308.87,-236.62,-76.044,301.39,64.53
0.1806,2.5586,-3.2373,0.72627,310.35,-183.65,-136.68,301.38,64.741
0.1813,2.832,-2.9443,0.16685,306.41,-114.84,-199.31,301.38,64.952
0.182,3.1104,-2.4072,-0.64285,296.54,-41.582,-255.97,301.38,65.163
0.1827,3.2861,-1.8164,-1.4035,265.45,27.721,-296.72,301.37,65.374
0.1834,3.4033,-1.2402,-2.0905,217.59,87.123,-314.12,301.38,65.585
0.1841,3.1885,-0.67383,-2.4683,159.86,148.51,-313.12,301.38,65.796
0.1848,2.8076,-0.063477,-2.7186,93.254,211.87,-307.66,301.37,66.007
0.1855,2.1973,0.78613,-2.9689,19.243,264.84,-292.25,301.36,66.218
0.1862,1.5723,1.5576,-3.1259,-48.847,299.49,-259.94,301.35,66.429
0.1869,1.001,2.2119,-3.2093,-105.1,311.37,-209.74,301.34,66.64
0.1876,0.39551,2.5781,-2.9738,-165.29,309.39,-147.62,301.33,66.851
0.1883,-0.26855,2.7979,-2.5518,-228.45,300.48,-81.015,301.33,67.062
0.189,-1.123,3.0469,-1.9678,-278.28,280.68,-8.9464,301.33,67.273
0.1897,-1.8213,3.2031,-1.4182,-306.9,248,56.66,301.32,67.484
0.1904,-2.4268,3.2812,-0.89802,-315.78,196.03,114.31,301.32,67.695
0.1911,-2.7588,3.0225,-0.31897,-313.81,130.19,175.95,301.33,67.906
0.1918,-3.0029,2.5635,0.37786,-303.94,60.392,238.07,301.33,68.117
0.1925,-3.2471,1.9385,1.2366,-279.76,-11.385,284.3,301.34,68.328
0.1932,-3.3301,1.3721,1.8942,-239.3,-76.233,306.17,301.34,68.539
0.1939,-3.2861,0.85449,2.38,-181.57,-134.15,310.14,301.34,68.75
0.1946,-2.9004,0.20508,2.6695,-115.46,-196.03,307.66,301.34,68.96
0.1953,-2.3682,-0.55664,2.91,-44.9,-255.43,293.24,301.34,69.171
0.196,-1.709,-1.416,3.121,24.67,-296.52,265.91,301.35,69.382
0.1967,-1.123,-2.0654,3.1799,85.853,-312.36,223.66,301.35,69.593
0.1974,-0.58105,-2.5098,3.0916,143.09,-313.35,163.52,301.35,69.804
0.1981,0.087891,-2.7783,2.699,204.76,-309.39,95.428,301.36,70.015
0.1988,0.86914,-3.0078,2.1788,261.51,-291.07,25.348,301.37,70.226
0.1995,1.7139,-3.2227,1.5507,298.51,-261.87,-41.75,301.38,70.437
0.2002,2.2998,-3.2715,1.0207,309.86,-217.81,-101.89,301.38,70.648
0.2009,2.7002,-3.1689,0.52017,309.86,-155.44,-161.53,301.38,70.859
0.2016,2.9639,-2.7393,-0.17175,304.93,-83.658,-224.16,301.38,71.07
0.2023,3.2129,-2.168,-0.98145,284.2,-12.375,-276.84,301.37,71.281
0.203,3.3838,-1.5381,-1.7813,246.7,53.462,-307.66,301.38,71.492
0.2037,3.3203,-1.0107,-2.2475,195.88,113.85,-313.62,301.4,71.703
0.2044,3.0762,-0.43945,-2.591,133.22,174.74,-311.63,301.4,71.914
0.2051,2.5586,0.30273,-2.8364,60.689,235.13,-303.68,301.41,72.125
0.2058,1.9434,1.1279,-3.0621,-11.348,282.16,-280.32,301.42,72.336
0.2065,1.2891,1.9238,-3.2093,-72.038,307.9,-240.56,301.42,72.547
0.2072,0.75195,2.3828,-3.1259,-129.77,311.37,-185.89,301.42,72.758
0.2079,0.1416,2.6758,-2.8266,-192.92,305.92,-120.78,301.42,72.969
0.2086,-0.62988,2.9102,-2.3015,-251.14,294.04,-50.199,301.43,73.18
0.2093,-1.4502,3.1299,-1.7224,-293.08,268.8,20.378,301.42,73.391
0.21,-2.1875,3.2861,-1.1483,-312.82,228.2,81.015,301.42,73.602
0.2107,-2.5635,3.1934,-0.6772,-315.29,170.29,139.17,301.43,73.813
0.2114,-2.8613,2.8662,-0.058887,-311.34,101.48,202.29,301.44,74.024
0.2121,-3.1055,2.3096,0.74099,-296.04,29.701,260.44,301.45,74.235
0.2128,-3.3105,1.7139,1.5311,-263.97,-39.602,296.72,301.45,74.446
0.2135,-3.3496,1.1035,2.1837,-216.61,-100.98,309.15,301.44,74.657
0.2142,-3.1152,0.57129,2.5027,-155.92,-160.39,309.15,301.44,74.868
0.2149,-2.6953,-0.087891,2.7628,-86.346,-221.77,303.68,301.45,75.079
0.2156,-2.085,-0.9082,2.9787,-14.309,-274.24,284.3,301.44,75.29
0.2163,-1.4795,-1.6895,3.1701,50.821,-306.91,249.01,301.43,75.501
0.217,-0.86914,-2.3193,3.1848,108.06,-314.83,199.31,301.42,75.712
0.2177,-0.3125,-2.6123,2.9247,169.73,-310.87,136.68,301.41,75.923
0.2184,0.41992,-2.8662,2.4683,231.41,-303.45,66.601,301.39,76.134
0.2191,1.2207,-3.0713,1.8893,278.28,-281.67,-5.4672,301.37,76.344
0.2198,1.9531,-3.2617,1.3593,305.42,-245.53,-67.595,301.37,76.555
0.2205,2.5195,-3.2764,0.80479,311.83,-191.57,-124.75,301.36,76.766
0.2212,2.793,-2.998,0.26008,308.38,-125.73,-188.37,301.35,76.977
0.2219,3.0713,-2.5,-0.51035,297.53,-54.947,-250,301.34,77.188
0.2226,3.2617,-1.8799,-1.3102,271.37,17.326,-292.25,301.34,77.399
0.2233,3.3789,-1.333,-1.9727,228.45,79.698,-311.63,301.34,77.61
0.224,3.2471,-0.7666,-2.4291,170.23,137.62,-314.12,301.33,77.821
0.2247,2.8711,-0.16602,-2.6843,103.12,199.99,-310.14,301.32,78.032
0.2254,2.3096,0.64453,-2.9394,31.578,257.91,-295.23,301.32,78.243
0.2261,1.6406,1.4648,-3.1014,-37.992,296.52,-265.91,301.32,78.454
0.2268,1.0889,2.0996,-3.1848,-96.708,310.38,-220.18,301.32,78.665
0.2275,0.49805,2.5391,-3.0278,-154.44,309.39,-159.05,301.32,78.876
0.2282,-0.1416,2.7588,-2.6303,-218.09,302.95,-91.452,301.32,79.087
